TSA_NUMERO,LAM_STATION_ID,TSA_NIMI,NIMI_FI,NIMI_SE,NIMI_EN,TIE,TIEOSA,ETAISYYS,TSA_PAIKKA_Y,TSA_PAIKKA_X,TSA_KORKEUS,MAAKUNNAN_NIMI,LEVEYS_ASTE,LEVEYS_MINUUTTI,LEVEYS_SEKUNTI,PITUUS_ASTE,PITUUS_MINUUTTI,PITUUS_SEKUNTI
23117,117,L_vt1_Munkkiniemi,Tie 1 Munkkiniemi,Väg 1 Munksnäs,Road 1 Munkkiniemi,1,3,500,6678726,3382198,0,Uusimaa,60,12,"10,9",24,52,"21,1"
23103,103,L_vt1_Huopalahti,Tie 1 Huopalahti,Väg 1 Hoplax,Road 1 Huopalahti,1,3,2210,6679064,3380555,0,Uusimaa,60,12,"20,1",24,50,"33,8"
23144,144,L_vt1_Friisinmäki,Tie 1 Friisinmäki,Väg 1 Frisbacka,Road 1 Friisinmäki,1,4,1200,6679347,3377846,0,Uusimaa,60,12,"26,3",24,47,"37,5"
23167,167,L_vt1_Sepänkylä,Tie 1 Sepänkylä,Väg 1 Smedsby,Road 1 Sepänkylä,1,5,900,6679005,3374914,0,Uusimaa,60,12,"12,1",24,44,28
23175,175,L_vt1_Lommila,"Tie 1, Espoo, Lommila","Väg 1, Esbo; Lommila","Road 1, Espoo, Lommila",1,5,5820,6680522,3370537,0,Uusimaa,60,12,"56,1",24,39,"40,7"
23139,139,L_vt1_Nupuri,Tie 1 Nupuri,Väg 1 Nupurböle,Road 1 Nupuri,1,6,2930,6682318,3367168,0,Uusimaa,60,13,"50,2",24,35,"57,8"
23191,191,L_vt1_Kolmiranta,"Tie 1 Espoo, Kolmiranta","Väg 1 Esbo, Kolmiranta","Road 1 Espoo, Kolmiranta",1,7,4030,6685535,3361810,0,Uusimaa,60,15,"27,6",24,30,"2,1"
23192,192,L_vt1_Veikkola,Tie 1 Veikkola,Väg 1 Veikkola,Road 1 Veikkola,1,8,2638,6689000,3357294,0,Uusimaa,60,17,"13,9",24,25,0
23104,104,L_vt1_Palojärvi,Tie 1 Palojärvi,Väg 1 Palojärvi,Road 1 Palojärvi,1,9,1058,6689750,3353293,0,Uusimaa,60,17,"32,9",24,20,"37,9"
23193,193,L_vt1_Hevoskallio,Tie 1 Hevoskallio,Väg 1 Hevoskallio,Road 1 Hevoskallio,1,10,2100,6691046,3348336,0,Uusimaa,60,18,"8,2",24,15,"12,1"
23194,194,L_vt1_Lehmijärvi,"Tie 1 Lohja, Lehmijärvi","Väg 1 Lojo, Lehmijärvi","Road 1 Lohja, Lehmijärvi",1,11,3797,6689694,3343037,0,Uusimaa,60,17,"17,3",24,9,"31,3"
24607,1607,L_vt1_Karnainen,Tie 1 Karnainen,Väg 1 Karnais,Road 1 Karnainen,1,12,2234,6689972,3338644,0,Uusimaa,60,17,"20,1",24,4,"44,9"
24606,1606,L_vt1_Pitkämäki,Tie 1 Pitkämäki,Väg 1 Pitkämäki,Road 1 Pitkämäki,1,14,2233,6694771,3330888,0,Uusimaa,60,19,"43,6",23,56,"6,4"
24605,1605,L_vt1_Hauklampi,Tie 1 Hauklampi,Väg 1 Hauklampi,Road 1 Hauklampi,1,15,3515,6699187,3327587,0,Uusimaa,60,22,"1,1",23,52,"17,9"
23106,106,L_vt2_Huhmari,Tie 2 Huhmari,Väg 2 Huhmari,Road 2 Huhmari,2,1,3767,6691621,3353437,0,Uusimaa,60,18,"33,5",24,20,"42,4"
23122,122,L_vt2_Karkkila,Tie 2 Karkkila,Väg 2 Högfors,Road 2 Karkkila,2,15,5038,6721431,3344150,0,Uusimaa,60,34,23,24,9,"14,4"
